City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
0,west island,-12.1568,96.8225,26.99,74,40,4.63,CC,scattered clouds
1,port elizabeth,-33.918,25.5701,16.29,94,75,0.0,ZA,broken clouds
2,edinburgh of the seven seas,-37.0676,-12.3116,13.09,69,91,5.56,SH,overcast clouds
3,puerto natales,-51.7236,-72.4875,7.22,91,100,1.4,CL,light rain
4,papatowai,-46.5619,169.4708,13.14,86,91,8.91,NZ,overcast clouds
5,bilibino,68.0546,166.4372,-15.21,96,100,1.81,RU,overcast clouds
6,pisco,-13.7,-76.2167,20.03,77,0,6.69,PE,clear sky
7,amahai,-3.3333,128.9167,28.9,74,55,0.82,ID,broken clouds
8,adamstown,-25.066,-130.1015,23.07,86,100,10.25,PN,light rain
9,richards bay,-28.783,32.0377,23.29,95,100,1.13,ZA,overcast clouds
10,grytviken,-54.2811,-36.5092,0.04,92,89,5.31,GS,snow
11,nantucket,41.2835,-70.0995,8.08,68,100,6.69,US,overcast clouds
12,kone,-21.0595,164.8658,28.29,55,100,0.86,NC,overcast clouds
13,cabo san lucas,22.8909,-109.9124,27.56,74,40,1.79,MX,scattered clouds
14,badger,64.8,-147.5333,-6.07,91,100,1.54,US,overcast clouds
15,northam,51.0333,-4.2167,7.56,80,86,5.28,GB,overcast clouds
16,ilulissat,69.2167,-51.1,-7.59,89,100,4.27,GL,overcast clouds
17,olonkinbyen,70.9221,-8.7187,1.9,88,100,9.91,SJ,overcast clouds
18,lata,40.1629,-8.3327,11.15,97,99,0.2,PT,overcast clouds
19,klyuchi,52.2667,79.1667,-1.47,65,100,6.58,RU,overcast clouds
20,coquimbo,-29.9533,-71.3436,15.85,88,40,3.6,CL,scattered clouds
21,utrik,11.2278,169.8474,27.68,74,28,8.63,MH,scattered clouds
22,santa eularia des riu,38.9846,1.5341,17.95,72,0,5.14,ES,clear sky
23,flin flon,54.7682,-101.865,-13.09,78,100,5.14,CA,light snow
24,vorgashor,67.5833,63.95,-22.0,97,16,2.53,RU,few clouds
25,lae,-6.7221,146.9847,32.37,59,80,2.76,PG,broken clouds
26,isafjordur,66.0755,-23.124,0.92,76,17,3.37,IS,few clouds
27,suntar,62.1444,117.6319,-14.76,93,100,3.5,RU,overcast clouds
28,shiyan,32.6475,110.7781,9.88,54,0,1.63,CN,clear sky
29,broome,42.2506,-75.833,0.93,82,10,1.79,US,clear sky
30,tucurui,-3.7661,-49.6725,25.98,72,62,1.71,BR,broken clouds
31,iqaluit,63.7506,-68.5145,-2.39,86,100,11.83,CA,light snow
32,chonchi,-42.6128,-73.8092,11.56,95,99,1.77,CL,overcast clouds
33,olyokminsk,60.3736,120.4264,-15.14,90,100,3.4,RU,overcast clouds
34,sahy,48.0741,18.9495,0.66,97,100,3.36,SK,light snow
35,ola,59.5833,151.2833,-9.92,68,100,4.34,RU,overcast clouds
36,codrington,-38.2667,141.9667,19.17,62,91,6.04,AU,overcast clouds
37,longyearbyen,78.2186,15.6401,3.91,65,75,6.69,SJ,broken clouds
38,waitangi,-43.9535,-176.5597,14.34,82,100,2.24,NZ,overcast clouds
39,vilyuchinsk,52.9306,158.4028,-4.85,74,91,3.84,RU,overcast clouds
40,puerto baquerizo moreno,-0.9,-89.6,24.77,80,100,6.04,EC,overcast clouds
41,maxixe,-23.8597,35.3472,22.23,89,2,1.71,MZ,clear sky
42,whitehorse,60.7161,-135.0538,1.43,69,75,6.17,CA,broken clouds
43,bredasdorp,-34.5322,20.0403,16.48,94,1,1.64,ZA,clear sky
44,hamilton,39.1834,-84.5333,0.89,62,0,6.26,US,clear sky
45,aasiaat,68.7098,-52.8699,-6.26,91,100,6.15,GL,light snow
46,nema,57.5067,50.5011,-5.33,93,100,2.84,RU,overcast clouds
47,papao,-17.75,-149.55,30.82,83,97,9.7,PF,overcast clouds
48,nova vicosa,-17.8919,-39.3719,24.01,90,70,1.63,BR,broken clouds
49,enewetak,11.3474,162.3373,27.94,75,6,9.34,MH,clear sky
50,ancud,-41.8697,-73.8203,9.92,87,100,3.61,CL,light rain
51,hemsby,52.6971,1.6918,7.13,83,100,10.68,GB,overcast clouds
52,hawaiian paradise park,19.5933,-154.9731,25.73,81,100,4.63,US,overcast clouds
53,mili,6.0815,171.735,28.35,78,100,7.93,MH,light rain
54,blackmans bay,-43.0167,147.3167,13.18,79,98,0.45,AU,overcast clouds
55,tiksi,71.6872,128.8694,-22.64,100,58,3.6,RU,broken clouds
56,selfoss,63.9331,-20.9971,1.85,97,100,4.44,IS,light snow
57,dudinka,69.4058,86.1778,-19.53,96,91,4.45,RU,overcast clouds
58,happy valley-goose bay,53.3168,-60.3315,2.17,69,100,7.72,CA,overcast clouds
59,st. john's,47.5649,-52.7093,2.21,87,100,8.75,CA,light shower snow
60,teknaf,20.8624,92.3058,21.77,82,21,1.75,BD,few clouds
61,chongjin,41.7956,129.7758,-2.46,35,0,5.06,KP,clear sky
62,anadyr,64.75,177.4833,-1.72,86,20,5.0,RU,few clouds
63,rayne,30.2349,-92.2685,9.44,55,100,2.9,US,overcast clouds
64,puerto deseado,-47.7503,-65.8938,10.63,73,100,16.9,AR,overcast clouds
65,ust-nera,64.5667,143.2,-25.43,100,100,2.1,RU,overcast clouds
66,jamestown,42.097,-79.2353,-2.23,74,100,8.75,US,light snow
67,lijiang,26.8688,100.2207,6.23,59,42,1.11,CN,scattered clouds
68,punta arenas,-53.15,-70.9167,11.06,50,0,4.63,CL,clear sky
69,thompson,55.7435,-97.8558,-23.91,84,0,1.03,CA,clear sky
70,kimbe,-5.5502,150.1429,31.49,62,37,2.39,PG,scattered clouds
71,bende,5.5572,7.6368,23.34,96,71,1.53,NG,broken clouds
72,tolanaro,-25.0319,46.9987,25.04,88,20,7.2,MG,few clouds
73,kodiak,57.79,-152.4072,4.73,45,0,3.6,US,clear sky
74,bethel,41.3712,-73.414,6.41,64,0,3.09,US,clear sky
75,tadine,-21.55,167.8833,25.14,62,57,3.91,NC,broken clouds
76,east london,-33.0153,27.9116,18.98,90,6,0.47,ZA,clear sky
77,tralee,52.2704,-9.7026,4.5,85,42,1.13,IE,scattered clouds
78,bangassou,4.7413,22.8184,20.55,98,93,0.44,CF,light rain
79,san luis de la loma,17.2706,-100.8939,26.63,79,100,3.05,MX,overcast clouds
80,kupang,-10.1667,123.5833,30.32,84,40,2.06,ID,scattered clouds
81,colonia menno,-22.3667,-59.8167,29.42,52,96,2.45,PY,overcast clouds
82,solnechnyy,50.7214,136.6319,-19.43,87,100,0.75,RU,overcast clouds
83,puerto ayacucho,5.6639,-67.6236,25.13,87,1,1.63,VE,clear sky
84,filingue,14.3521,3.3168,28.55,26,48,3.67,NE,scattered clouds
85,belgrade,44.804,20.4651,5.81,70,0,5.14,RS,clear sky
86,georgetown,5.4112,100.3354,27.23,89,20,0.51,MY,few clouds
87,liman,48.9884,37.8023,-2.28,78,21,6.15,UA,few clouds
88,fisterra,42.9049,-9.2629,13.34,87,100,3.37,ES,light rain
89,dingwall,57.5953,-4.4272,3.97,96,48,1.21,GB,scattered clouds
90,kapa'a,22.0752,-159.319,26.38,73,20,4.63,US,few clouds
91,horta,38.5333,-28.6333,17.23,94,100,1.34,PT,light rain
92,kurmuk,10.55,34.2833,23.59,39,36,1.49,SD,scattered clouds
93,suwayr,30.1171,40.3893,12.52,78,11,3.33,SA,few clouds
94,agoo,16.0833,120.1,29.1,66,82,6.34,PH,broken clouds
95,wanning,18.8003,110.3967,22.27,73,10,3.77,CN,clear sky
96,sinop,41.7711,34.8709,-0.74,56,9,4.83,TR,clear sky
97,pangai,-19.8,-174.35,30.06,74,75,6.17,TO,broken clouds
98,saint joseph,39.7686,-94.8466,-1.79,80,0,0.0,US,clear sky
99,palmer,42.1584,-72.3287,4.92,52,75,4.63,US,broken clouds
100,kingston,17.997,-76.7936,29.53,79,20,1.03,JM,few clouds
101,port-aux-francais,-49.35,70.2167,3.93,73,68,9.32,TF,broken clouds
102,konarka,19.9,86.1167,18.22,77,2,2.38,IN,clear sky
103,acarau,-2.8856,-40.12,26.91,81,100,6.25,BR,overcast clouds
104,birao,10.2849,22.7882,26.31,22,86,3.8,CF,overcast clouds
105,yellowknife,62.456,-114.3525,-6.44,99,100,4.12,CA,light shower snow
106,tsiombe,-25.3,45.4833,22.89,94,27,3.84,MG,scattered clouds
107,el bayadh,33.6832,1.0193,6.66,32,6,3.02,DZ,clear sky
108,hermanus,-34.4187,19.2345,17.33,90,0,1.2,ZA,clear sky
109,karratha,-20.7377,116.8463,27.52,45,4,6.62,AU,clear sky
110,daru,-9.0763,143.2092,29.59,70,100,3.84,PG,overcast clouds
111,kutum,14.2,24.6667,18.79,28,97,4.3,SD,overcast clouds
112,yung shue wan,22.2333,114.1167,22.04,65,0,0.45,HK,clear sky
113,kamyshlov,56.8428,62.7111,0.59,90,100,4.34,RU,overcast clouds
114,namdrik,5.5994,168.1028,28.09,80,100,8.09,MH,light rain
115,college,64.8569,-147.8028,-6.03,87,100,1.54,US,overcast clouds
116,arraial do cabo,-22.9661,-42.0278,23.98,83,0,7.72,BR,light rain
117,yuzhno-kurilsk,44.0306,145.8556,6.32,96,100,4.3,RU,overcast clouds
118,wailua homesteads,22.0669,-159.378,25.63,75,20,4.63,US,light rain
119,road town,18.4167,-64.6167,27.05,74,20,4.63,VG,few clouds
120,hasaki,35.7333,140.8333,20.22,63,5,9.31,JP,clear sky
121,lebu,-37.6167,-73.65,13.05,90,100,1.3,CL,overcast clouds
122,invercargill,-46.4,168.35,12.23,93,98,6.71,NZ,overcast clouds
123,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,63,40,7.15,RU,scattered clouds
124,barmer,25.75,71.3833,16.1,63,0,4.17,IN,clear sky
125,fort bragg,35.139,-79.006,6.06,79,0,0.0,US,clear sky
126,margaret river,-33.95,115.0667,19.57,73,100,3.63,AU,overcast clouds
127,puerto ayora,-0.7393,-90.3518,24.19,93,100,2.24,EC,overcast clouds
128,albany,42.6001,-73.9662,1.79,80,7,0.45,US,clear sky
129,dryden,49.7833,-92.7503,-15.84,78,0,3.09,CA,clear sky
130,kulhudhuffushi,6.6221,73.07,28.09,75,92,4.06,MV,overcast clouds
131,afaahiti,-17.75,-149.2833,29.93,83,100,8.81,PF,light rain
132,champerico,14.3,-91.9167,30.3,77,1,2.19,GT,clear sky
133,cururupu,-1.8283,-44.8683,25.35,85,100,2.1,BR,overcast clouds
134,tazacorte,28.629,-17.9293,18.54,84,0,4.02,ES,clear sky
135,alofi,-19.0595,-169.9187,29.94,62,75,4.63,NU,broken clouds
136,kudahuvadhoo,2.6708,72.8944,27.64,72,100,0.87,MV,overcast clouds
137,aldama,22.9167,-98.0667,14.72,68,100,2.03,MX,overcast clouds
138,aljezur,37.3191,-8.8033,13.99,83,100,0.41,PT,overcast clouds
139,nemuro,43.3236,145.575,9.68,94,100,7.94,JP,overcast clouds
140,ta`u,-14.2336,-169.5144,27.79,83,76,8.12,AS,broken clouds
141,puerto cabezas,14.0351,-83.3888,25.82,89,8,3.84,NI,clear sky
142,weno,7.4515,151.8468,28.79,79,99,7.52,FM,overcast clouds
143,rikaze,29.25,88.8833,-1.86,56,81,2.04,CN,broken clouds
144,madalena,41.2162,-8.3345,14.32,96,100,0.96,PT,overcast clouds
145,moose jaw,50.4001,-105.5344,-0.86,80,100,5.14,CA,overcast clouds
146,kas,36.2018,29.6377,9.72,41,44,3.66,TR,scattered clouds
147,hadibu,12.65,54.0333,25.34,70,100,5.22,YE,overcast clouds
148,zhezqazghan,47.7833,67.7667,-1.68,93,40,5.0,KZ,scattered clouds
149,mount gambier,-37.8333,140.7667,19.64,54,27,4.08,AU,scattered clouds
150,port mathurin,-19.6833,63.4167,24.25,73,5,2.43,MU,clear sky
151,plymouth,41.8334,-70.8328,7.59,68,4,3.84,US,clear sky
152,baxter,46.3433,-94.2867,-10.82,64,100,6.69,US,overcast clouds
153,diplo,24.4667,69.584,18.7,56,0,3.95,PK,clear sky
154,norrtalje,59.758,18.705,-5.09,77,100,5.57,SE,overcast clouds
155,keflavik,64.0049,-22.5624,3.24,87,100,2.06,IS,overcast clouds
156,parabel',58.6978,81.4825,-13.38,97,97,2.68,RU,overcast clouds
157,qamdo,31.1667,97.2333,-4.77,32,100,2.35,CN,overcast clouds
158,bikenibeu village,1.3673,173.1241,30.98,74,40,3.09,KI,scattered clouds
159,aripuana,-9.1667,-60.6333,25.85,66,25,1.02,BR,scattered clouds
160,bialystok,53.1333,23.15,-6.69,93,75,0.45,PL,broken clouds
161,cooma,-36.2333,149.1333,17.16,72,100,3.59,AU,overcast clouds
162,ribeira grande,38.5167,-28.7,17.65,94,100,1.34,PT,overcast clouds
